sr_no,close,high,low,open,tradeTime,volume,NASDAQ_Symbol
332,143.32,143.51,142.12,142.89,2019-07-15,2368309,IBM
333,143.53,144.04,143.02,143.17,2019-07-16,3474688,IBM
334,143.07,143.8,141.95,143.61,2019-07-17,6064265,IBM
335,149.63,150.31,142.2,142.5,2019-07-18,12695387,IBM
336,149.68,151.58,149.55,149.96,2019-07-19,7290678,IBM
337,149.74,151.94,149.7,150.16,2019-07-22,4093239,IBM
338,150.38,150.72,148.38,150.57,2019-07-23,3742204,IBM
339,150.03,151.45,149.195,150.12,2019-07-24,2952435,IBM
340,150.39,150.62,148.61,149.82,2019-07-25,3102113,IBM
341,151.36,151.41,150.1,151,2019-07-26,2904494,IBM
342,150.88,151.48,150.32,151.11,2019-07-29,2075528,IBM
343,149.77,150.4,149.22,150,2019-07-30,2632726,IBM
344,148.24,150.18,146.39,149.7,2019-07-31,3722907,IBM
345,150.32,152.82,148.5,148.9,2019-08-01,6344006,IBM
346,147.25,152.95,145.59,149.03,2019-08-02,8101720,IBM
347,140.76,145.1,139.15,144.98,2019-08-05,7114871,IBM
348,140.73,142.47,139.31,142.03,2019-08-06,5070650,IBM
349,139.11,139.58,136.4115,138.74,2019-08-07,5931883,IBM
350,140.1,140.42,137.76,138.45,2019-08-08,5261444,IBM
351,136.13,139.31,135.35,139.27,2019-08-09,5244594,IBM
352,133.67,135.87,133.18,135.66,2019-08-12,4083850,IBM
353,135.79,136.57,132.8058,133.8,2019-08-13,4551170,IBM
354,131.25,134.16,130.98,133.91,2019-08-14,5114159,IBM
355,131.92,132.37,130.25,131.22,2019-08-15,3738945,IBM
356,133.76,134.59,132.9539,133.04,2019-08-16,3011993,IBM
357,135.04,136.33,134.88,134.88,2019-08-19,3165436,IBM
